HGNC ID	Approved symbol	Approved name	Status	Locus type	Previous symbols	Alias symbols	Chromosome	NCBI Gene ID	Ensembl gene ID	Vega gene ID	Group ID	Group name
HGNC:10680	SDHA	succinate dehydrogenase complex flavoprotein subunit A	Approved	gene with protein product	SDH2	FP, SDHF	5p15.33	6389	ENSG00000073578	OTTHUMG00000090275	641	Mitochondrial complex II: succinate dehydrogenase subunits
HGNC:10681	SDHB	succinate dehydrogenase complex iron sulfur subunit B	Approved	gene with protein product	SDH1, SDH		1p36.13	6390	ENSG00000117118	OTTHUMG00000002289	641	Mitochondrial complex II: succinate dehydrogenase subunits
HGNC:10682	SDHC	succinate dehydrogenase complex subunit C	Approved	gene with protein product	PGL3	CYB560, cybL	1q23.3	6391	ENSG00000143252	OTTHUMG00000034468	641	Mitochondrial complex II: succinate dehydrogenase subunits
HGNC:10683	SDHD	succinate dehydrogenase complex subunit D	Approved	gene with protein product	PGL, PGL1	cybS	11q23.1	6392	ENSG00000204370	OTTHUMG00000166997	641	Mitochondrial complex II: succinate dehydrogenase subunits
HGNC:12585	UQCRC1	ubiquinol-cytochrome c reductase core protein 1	Approved	gene with protein product		D3S3191, QCR1, UQCR1	3p21.31	7384	ENSG00000010256	OTTHUMG00000133539	642	Mitochondrial complex III: ubiquinol-cytochrome c reductase complex subunits
HGNC:30863	UQCR10	ubiquinol-cytochrome c reductase, complex III subunit X	Approved	gene with protein product		HSPC051, UCRC, QCR9, UCCR7.2	22q12.2	29796	ENSG00000184076	OTTHUMG00000151283	642	Mitochondrial complex III: ubiquinol-cytochrome c reductase complex subunits
HGNC:30862	UQCR11	ubiquinol-cytochrome c reductase, complex III subunit XI	Approved	gene with protein product	UQCR	QCR10	19p13.3	10975	ENSG00000127540	OTTHUMG00000180084	642	Mitochondrial complex III: ubiquinol-cytochrome c reductase complex subunits
HGNC:12586	UQCRC2	ubiquinol-cytochrome c reductase core protein 2	Approved	gene with protein product		QCR2, UQCR2	16p12.2	7385	ENSG00000140740	OTTHUMG00000131585	642	Mitochondrial complex III: ubiquinol-cytochrome c reductase complex subunits
HGNC:7427	MT-CYB	mitochondrially encoded cytochrome b	Approved	gene with protein product	MTCYB	COB, CYTB, UQCR3	mitochondria	4519	ENSG00000198727		642	Mitochondrial complex III: ubiquinol-cytochrome c reductase complex subunits
HGNC:2579	CYC1	cytochrome c1	Approved	gene with protein product		UQCR4	8q24.3	1537	ENSG00000179091	OTTHUMG00000165242	642	Mitochondrial complex III: ubiquinol-cytochrome c reductase complex subunits
HGNC:12587	UQCRFS1	ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1	Approved	gene with protein product		RIS1, RIP1, UQCR5, RISP	19q12	7386	ENSG00000169021	OTTHUMG00000181997	642	Mitochondrial complex III: ubiquinol-cytochrome c reductase complex subunits
HGNC:12590	UQCRH	ubiquinol-cytochrome c reductase hinge protein	Approved	gene with protein product		QCR6, UQCR8	1p33	7388	ENSG00000173660	OTTHUMG00000007813	642	Mitochondrial complex III: ubiquinol-cytochrome c reductase complex subunits
HGNC:12582	UQCRB	ubiquinol-cytochrome c reductase binding protein	Approved	gene with protein product	UQBP	QP-C, QCR7, UQCR6	8q22.1	7381	ENSG00000156467	OTTHUMG00000164711	642	Mitochondrial complex III: ubiquinol-cytochrome c reductase complex subunits
HGNC:29594	UQCRQ	ubiquinol-cytochrome c reductase complex III subunit VII	Approved	gene with protein product		QP-C, QCR8, UQCR7	5q31.1	27089	ENSG00000164405	OTTHUMG00000059836	642	Mitochondrial complex III: ubiquinol-cytochrome c reductase complex subunits
HGNC:2265	COX4I1	cytochrome c oxidase subunit 4I1	Approved	gene with protein product	COX4	COX4-1, COXIV, COXIV-1	16q24.1	1327	ENSG00000131143	OTTHUMG00000137649	643	Mitochondrial complex IV: cytochrome c oxidase subunits
HGNC:16232	COX4I2	cytochrome c oxidase subunit 4I2	Approved	gene with protein product	COX4L2	COXIV-2, COX4B, dJ857M17.2, COX4-2	20q11.21	84701	ENSG00000131055	OTTHUMG00000032180	643	Mitochondrial complex IV: cytochrome c oxidase subunits
HGNC:2267	COX5A	cytochrome c oxidase subunit 5A	Approved	gene with protein product		COX-VA	15q24.2	9377	ENSG00000178741	OTTHUMG00000142825	643	Mitochondrial complex IV: cytochrome c oxidase subunits
HGNC:2269	COX5B	cytochrome c oxidase subunit 5B	Approved	gene with protein product			2q11.2	1329	ENSG00000135940	OTTHUMG00000130548	643	Mitochondrial complex IV: cytochrome c oxidase subunits
HGNC:2277	COX6A1	cytochrome c oxidase subunit 6A1	Approved	gene with protein product	COX6A	COX6AL	12q24.31	1337	ENSG00000111775	OTTHUMG00000047791	643	Mitochondrial complex IV: cytochrome c oxidase subunits
HGNC:2279	COX6A2	cytochrome c oxidase subunit 6A2	Approved	gene with protein product		COX6AH, COXVIAH, COXVIa-M	16p11.2	1339	ENSG00000156885	OTTHUMG00000132463	643	Mitochondrial complex IV: cytochrome c oxidase subunits
HGNC:2280	COX6B1	cytochrome c oxidase subunit 6B1	Approved	gene with protein product	COX6B	COXG	19q13.12	1340	ENSG00000126267	OTTHUMG00000048112	643	Mitochondrial complex IV: cytochrome c oxidase subunits
HGNC:24380	COX6B2	cytochrome c oxidase subunit 6B2	Approved	gene with protein product		COXVIB2, FLJ32865, CT59	19q13.42	125965	ENSG00000160471	OTTHUMG00000180774	643	Mitochondrial complex IV: cytochrome c oxidase subunits
HGNC:2285	COX6C	cytochrome c oxidase subunit 6C	Approved	gene with protein product			8q22.2	1345	ENSG00000164919	OTTHUMG00000164703	643	Mitochondrial complex IV: cytochrome c oxidase subunits
HGNC:2287	COX7A1	cytochrome c oxidase subunit 7A1	Approved	gene with protein product	COX7A	COX7AH	19q13.12	1346	ENSG00000161281	OTTHUMG00000048144	643	Mitochondrial complex IV: cytochrome c oxidase subunits
HGNC:2288	COX7A2	cytochrome c oxidase subunit 7A2	Approved	gene with protein product		COXVIIa-L, COX7AL	6q14.1	1347	ENSG00000112695	OTTHUMG00000015049	643	Mitochondrial complex IV: cytochrome c oxidase subunits
HGNC:2291	COX7B	cytochrome c oxidase subunit 7B	Approved	gene with protein product			Xq21.1	1349	ENSG00000131174	OTTHUMG00000022718	643	Mitochondrial complex IV: cytochrome c oxidase subunits
HGNC:24381	COX7B2	cytochrome c oxidase subunit 7B2	Approved	gene with protein product			4p12	170712	ENSG00000170516	OTTHUMG00000099423	643	Mitochondrial complex IV: cytochrome c oxidase subunits
HGNC:2292	COX7C	cytochrome c oxidase subunit 7C	Approved	gene with protein product			5q14.3	1350	ENSG00000127184	OTTHUMG00000119049	643	Mitochondrial complex IV: cytochrome c oxidase subunits
HGNC:2294	COX8A	cytochrome c oxidase subunit 8A	Approved	gene with protein product	COX8	COX8-2, COX8L, VIII-L, COX, VIII	11q13.1	1351	ENSG00000176340	OTTHUMG00000167785	643	Mitochondrial complex IV: cytochrome c oxidase subunits
HGNC:24382	COX8C	cytochrome c oxidase subunit 8C	Approved	gene with protein product		COX8-3	14q32.12	341947	ENSG00000187581	OTTHUMG00000171279	643	Mitochondrial complex IV: cytochrome c oxidase subunits
HGNC:7687	COXFA4	cytochrome c oxidase associated subunit FA4	Approved	gene with protein product	NDUFA4	MLRQ, CI-9k, MRCAF1, MISTR1	7p21.3	4697	ENSG00000189043	OTTHUMG00000023880	643	Mitochondrial complex IV: cytochrome c oxidase subunits
